,nameWithOwner,createdAt,releasesByRepoAge,averageTimeForMergePR
TobitSoftware/chayns-components,2017-03-09T10:15:54Z,30.9,2
lissitz/react-accessible-treeview,2019-07-31T19:26:58Z,2.92,5
datatogether/webapp,2017-03-08T19:07:46Z,0.0,11
jonniespratley/predix-ui,2017-10-05T23:25:42Z,0.28,1
Vizzuality/vizz-components,2016-04-15T14:03:53Z,0.4,4
pagesource/fusion-components,2017-06-01T10:20:28Z,0.0,3
lusan/antd-boilerplate,2017-10-12T03:04:06Z,0.0,0
cassiolpaixao90/boilerplate-react-redux-pwa,2018-06-19T17:55:32Z,0.0,0
marshmallow-insurance/smores-react,2019-04-05T10:06:15Z,0.99,1
Asatelit/pwa-pos-terminal,2018-06-20T19:18:01Z,1.77,0
MegafonWebLab/megafon-ui,2018-08-01T14:46:00Z,105.17,4
uiwjs/react-split,2020-04-15T06:41:43Z,2.0,17
csvenke/react-semantic-render,2018-07-22T15:54:58Z,13.14,0
u-wave/react-dailymotion,2016-07-11T18:54:59Z,1.26,3
ilxanlar/cathode,2016-11-14T22:35:18Z,0.0,0
turtlemint/mint-ui,2019-11-12T12:21:24Z,0.0,6
goto-bus-stop/react-abstract-autocomplete,2016-09-07T12:16:22Z,1.52,6
wednesday-solutions/react-floki,2019-08-13T19:02:44Z,0.6,4
hupe1980/wapps-components,2018-05-12T17:57:39Z,0.0,166
raphamorim/reactsandbox,2017-12-12T22:41:58Z,0.0,0
ritz078/react-component-boilerplate,2016-02-11T19:16:17Z,0.0,0
marp-team/marp-react,2019-02-09T10:48:13Z,1.83,11
mockingbot/ibot,2017-05-24T11:00:55Z,0.0,5
involvestecnologia/violin,2019-10-02T18:32:16Z,11.69,2
wangdicoder/tiny-ui,2019-03-07T12:54:14Z,0.0,6
rajibchandrakarmaker/react-admin,2018-08-27T09:45:55Z,0.0,0
ludejun/Deep-Viz-Website,2017-11-27T02:40:06Z,0.88,0
stoplightio/formtron,2018-11-14T19:21:34Z,11.16,1
cybercongress/gravity,2018-11-14T14:59:40Z,0.0,24
ooni/design-system,2015-11-18T09:27:50Z,0.18,17
viczaca/react-json-schema-builder,2020-10-19T08:44:47Z,4.08,0
asynchronous-dev/react-chat-renderer,2019-06-13T04:43:38Z,0.0,9
karlhadwen/react-dropdown-menu,2020-04-22T19:50:20Z,0.0,3
noderaider/react-redux-idle-monitor,2016-04-05T18:36:16Z,0.0,0
ljbc1994/babel-plugin-react-pug,2017-03-17T12:23:31Z,0.0,0
Esri/react-sceneview,2018-10-18T10:48:06Z,1.2,3
minimit/xtendui,2018-02-24T10:54:32Z,71.66,9
Sletheren/react-gdpr-consent,2018-11-10T17:25:44Z,0.0,0
svelte-barcode/react-chartjsx,2018-04-02T04:50:59Z,0.0,0
brycedorn/react-legos,2017-12-20T03:37:50Z,0.0,0
cision/rover-ui,2019-01-28T16:37:38Z,9.46,5
Codebrahma/React-Chat,2018-07-20T04:47:47Z,0.0,0
spicy-ui/core,2019-12-30T02:37:38Z,14.62,7
marabesi/testable,2018-06-06T23:09:46Z,0.35,3
the-road-to-learn-react/react-component-types,2019-02-22T08:13:24Z,0.0,0
the-road-to-learn-react/react-component-composition-example,2019-01-18T08:17:30Z,0.0,0
mozilla-frontend-infra/components,2018-06-28T20:46:48Z,9.29,2
webex/components,2019-07-23T15:18:51Z,49.71,3
SurLaTable/slt-ui,2018-04-17T18:10:55Z,1.67,1
yankaindustries/mc-components,2018-06-13T17:43:35Z,16.55,2
ddmarin94/ReactComponentsLibraryBoilerplate,2018-12-09T19:17:17Z,0.0,0
airtoxin/react-triangle,2016-04-12T13:03:36Z,0.0,0
ishtiaque05/GeekHub,2017-09-24T07:41:11Z,0.28,0
ArielJurkowski/react-handler-hooks,2020-02-21T12:16:09Z,5.22,0
Danktuary/react-discord-message,2019-03-18T00:08:25Z,0.0,11
